filename,review_group,true_label_name,predicted_label_name,defect_probability,correct,target_class_explained,gradcam_file,last_conv_layer,heatmap_max,heatmap_mean
cast_def_0_5707.jpeg,correct_defect_high_confidence,def_front,def_front,0.9999997615814209,True,1,/kaggle/working/week7_from_start_gradcam/figures/week7_gradcam_00_correct_defect_high_confidence_cast_def_0_5707.jpeg.png,block14_sepconv2,1.0,0.11636990308761597
cast_def_0_5224.jpeg,correct_defect_high_confidence,def_front,def_front,0.9999984502792358,True,1,/kaggle/working/week7_from_start_gradcam/figures/week7_gradcam_01_correct_defect_high_confidence_cast_def_0_5224.jpeg.png,block14_sepconv2,1.0,0.14680399000644684
cast_def_0_122.jpeg,correct_defect_high_confidence,def_front,def_front,0.9999982118606567,True,1,/kaggle/working/week7_from_start_gradcam/figures/week7_gradcam_02_correct_defect_high_confidence_cast_def_0_122.jpeg.png,block14_sepconv2,1.0,0.15689530968666077
cast_ok_0_2295.jpeg,correct_ok_high_confidence,ok_front,ok_front,0.0006586472154594958,True,0,/kaggle/working/week7_from_start_gradcam/figures/week7_gradcam_03_correct_ok_high_confidence_cast_ok_0_2295.jpeg.png,block14_sepconv2,1.0,0.10779466480016708
cast_ok_0_5588.jpeg,correct_ok_high_confidence,ok_front,ok_front,0.0010069434065371752,True,0,/kaggle/working/week7_from_start_gradcam/figures/week7_gradcam_04_correct_ok_high_confidence_cast_ok_0_5588.jpeg.png,block14_sepconv2,1.0,0.08835151791572571
cast_ok_0_6129.jpeg,correct_ok_high_confidence,ok_front,ok_front,0.001937810331583023,True,0,/kaggle/working/week7_from_start_gradcam/figures/week7_gradcam_05_correct_ok_high_confidence_cast_ok_0_6129.jpeg.png,block14_sepconv2,1.0,0.0895276814699173
cast_def_0_3457.jpeg,low_confidence,def_front,def_front,0.5104749202728271,True,1,/kaggle/working/week7_from_start_gradcam/figures/week7_gradcam_06_low_confidence_cast_def_0_3457.jpeg.png,block14_sepconv2,1.0,0.24712666869163513
cast_def_0_9067.jpeg,low_confidence,def_front,def_front,0.4494169354438782,True,1,/kaggle/working/week7_from_start_gradcam/figures/week7_gradcam_07_low_confidence_cast_def_0_9067.jpeg.png,block14_sepconv2,1.0,0.1066569834947586
cast_ok_0_1825.jpeg,low_confidence,ok_front,def_front,0.4363026022911072,False,1,/kaggle/working/week7_from_start_gradcam/figures/week7_gradcam_08_low_confidence_cast_ok_0_1825.jpeg.png,block14_sepconv2,1.0,0.03833334520459175
cast_def_0_2576.jpeg,low_confidence,def_front,def_front,0.564595103263855,True,1,/kaggle/working/week7_from_start_gradcam/figures/week7_gradcam_09_low_confidence_cast_def_0_2576.jpeg.png,block14_sepconv2,1.0,0.0199851393699646
cast_def_0_7724.jpeg,misclassified,def_front,ok_front,0.10900496691465378,False,0,/kaggle/working/week7_from_start_gradcam/figures/week7_gradcam_10_misclassified_cast_def_0_7724.jpeg.png,block14_sepconv2,1.0,0.21953479945659637
cast_def_0_8142.jpeg,misclassified,def_front,ok_front,0.1356762796640396,False,0,/kaggle/working/week7_from_start_gradcam/figures/week7_gradcam_11_misclassified_cast_def_0_8142.jpeg.png,block14_sepconv2,1.0,0.0768897756934166
cast_ok_0_1265.jpeg,misclassified,ok_front,def_front,0.210560604929924,False,1,/kaggle/working/week7_from_start_gradcam/figures/week7_gradcam_12_misclassified_cast_ok_0_1265.jpeg.png,block14_sepconv2,0.0,0.0
cast_ok_0_3336.jpeg,misclassified,ok_front,def_front,0.24753545224666595,False,1,/kaggle/working/week7_from_start_gradcam/figures/week7_gradcam_13_misclassified_cast_ok_0_3336.jpeg.png,block14_sepconv2,1.0,0.043304018676280975
